title,index,page,about,ingridients,preparation,nutrition per 100g of recipe,energy(kcal),fat(g),carbohydrates(g),proteins(g),fibre(g),vitamin A(mcg),iron(mg),zinc(mg),F_factor_est
"Thabai / Thaa
 (Stinging Nettle Leaves)",15077,246,"Stinging nettle commonly known as ?habai?r ?haa?s a traditional vegetable popular among the Kikuyu and Meru communities. It is usually eaten with ugali as a side dish during lunch or dinner. Sometimes
it is added to mashed food to enrich with nutrients.","stinging nettle leaves
onion
cooking oil
salt
water","Preparation 15 minutes | Cooking 45 minutes | 
Serves 4
?Cut the stinging nettle leaves from the stalks.
?Wash the leaves.
?Put the leaves in a pot and add 3 1/2 cups of water.
?Bring the mixture to a boil until tender.
?In a separate cooking pot, heatcooking oil for 1
minute.
?Peel, wash and chop the onion.
?Add the chopped onion and cook until they are
soft.
?Add the boiled stinging nettle and salt then stir.
?Add the rest of the water after 1 minute.
?Cover the pot and bring to a boil for 8 minutes.
?Remove from the fire.","Energy 143 kJ/ 34.4 kcal | Fat 2.4 g | Carbohydrates 1.9 g | Protein 1.2 g | Fibre 0.6 g
Vitamin A 0 mcg | Iron 1.4 mg | Zinc 0.14 mg",34.4,2.4,1.9,1.2,0.6,0,1.4,0.14,0.1
"Rhikhuvi
(Stewed Cowpea Leaves)",15078,248,"Cowpea leaves are among the most common green vegetables in Kenya. Most common among the Kamba community but also consumed in communities that grow cowpeas. It is usually served with Ugali as a
side dish during lunch or dinner. It is eaten by the entire family","cow pea leaves
onion
cooking oil
salt
sherekha
wood ash and
water
milk
water","Preparation 10 Minutes | Cooking 30 Minutes | 
Serves 4
?Prepare the vegetables by removing the stalks. Do
not cut the leaves.
?Wash the vegetables.
?Boil 3/4 cup of water in a cooking pot and add the
uncut vegetables and turn. Add 1/8 cup of msherekha.
?Cover the pot and boil for 20 minutes. Stir at intervals.
?Turn off the heat.
?Strain the water and discard.
?Add onions and cooking oil to a cooking pot.
?Cook onions for 2 minutes and then add the vegetables.
?Stir then add the milk and salt.
?Cover the pot and cook for 2 minutes.
?Remove from heat and serve.","Energy 630 kJ/ 152 kcal |  Fat 13.3 g  | Carbohydrates 3.5 g  | Protein 3.2 g  | Fibre 3.2 g  
Vitamin A 32 mcg  | Iron 1.3 mg |  Zinc 0.53 mg",152,13.3,3.5,3.2,3.2,32,1.3,0.53,0.1
"Kunde & Mrenda
(Stewed Cowpeas Leaves and Jute Mallow leaves)",15079,250,"This vegetable blend is most common among the Luhya communities. It is usually eaten as a side dish
with Ugali. Therefore, it is mostly consumed during lunch or dinner. It is garnished with milk to give a
smooth and creamy taste","cow-pea leaves
jute mallow leaves
magadi
salt
milk","Preparation 10 minutes | Cooking 30 minutes | Serves 
4
?Prepare the vegetables by removing the stalks.
?Mix the leaves together and wash properly. Do not
cut.
?Add 1/8 cup of ?agadi?ash and water solution).
?Add the uncut vegetables and cover the pot.
?Cover and start cooking on low heat. Do not add
water.
?Steam for 5 minutes.
?Add salt and stir.
?Add milk, stir, and cover to cook for 5 minutes.
?Turn off the heat and serve.","Energy 238 kJ/ 57 kcal | Fat 2.0 g | Carbohydrates 4.4 g | Protein 3.7 g | Fibre 3.3 g
Vitamin A 84 mcg | Iron 2.4 mg | Zinc 0.64 mg",57,2,4.4,3.7,3.3,84,2.4,0.64,0.1
 Stir-Fried Spinach,15076,252,"This is one of the most common green vegetable dishes available in Kenya. It is consumed across all communities in Kenya especially those living in urban areas. It is mainly eaten with Ugali or any other starchy
meal as a side dish. Sometimes, it is cooked together with other green vegetables.","spinach
onion
cooking oil
salt
","Preparation 10 minutes | Cooking 15 minutes | Serves 
4
?Remove the stalks from the spinach and wash.
?Cut the spinach.
?Peel, wash and chop the onions.
?Heat cooking oil in a pan for 1 minute and add the
chopped onions. Cook for 4 minutes.
?Add spinach and salt. Cover and let it simmer for 10
minutes.
?Remove from heat.","Energy 307 kJ/ 74 kcal | Fat 5.4 g | Carbohydrates 2.0 g | Protein 2.8 g | Fibre 3.3 g
Vitamin A 142 mcg | Iron 3.7 mg | Zinc 0.62 mg",74,5.4,2,2.8,3.3,142,3.7,0.62,0.1
"Kitojo
(Sweet Potato Leaves)",15091,254,"?itojo?s it is commonly called among the Taita community, is a delicious dish made from sweet potato
leaves. It is commonly eaten with Ugali.","sweet potato leaves
onion
cooking oil
salt","Preparation time 5-10 | Cooking time 15 minutes | 
Serves 4
?Remove the leaves from the vines and wash thoroughly.
?Cut the leaves into small strips.
?Prepare and chop the onion.
?Add cooking oil in a pot, add the chopped onions
and fry until golden brown.
?Add the vegetables and salt. Stir and cook until
ready or soft.
?Serve.","Energy 596 kJ/ 144 kcal  | Fat 12.7 g  | Carbohydrates 1.4 g  | Protein 3.9 g  | Fibre 4.6 g
Vitamin A 138 mcg  | Iron 0.9 mg |  Zinc 0.26 mg",144,12.7,1.4,3.9,4.6,138,0.9,0.26,0.1
"Obobwa
(Stewed Mushroom in Peanut Butter)",15080,256,Stewed mushroom commonly known as ?bobwa?s a traditional dish typical to the Luhya community.,"mushrooms
onion
peanut butter
tomato
salt
sherekha
wood ash and water
water","Preparation 15 minutes | Cooking 1 hour 10 minutes 
| Serves 4
?Wash and cut the fresh mushroom into 1/4 (quarter)
pieces.
?Peel, wash and finely chop the onion.
?Place the onions, mushrooms, tomatoes and peanut
butter into a clean cooking pot.
?Add 3/4 cup of water and salt, turn on the heat and
cover the pot.
?Cook for 11 minutes and add 1 g of ?sherekha?ash: water ratio is 1:9).
?Cover the pot and cook further for 5-8 minutes.
?Stir, turn to low heat and continue cooking for 25-30
minutes.
?Remove from heat and serve hot.","Energy 487 kJ/ 117 kcal  | Fat 6.3 g |  Carbohydrates 8.3 g  | Protein 4.9 g |  Fibre 3.8 g
Vitamin A 6 mcg  | Iron 1.4 mg  | Zinc 0.54 mg",177,6.3,8.3,4.9,3.8,6,1.4,0.54,0.1
Potato Curry,15127,258,"Potato curry is a spiced recipe that makes part of a full meal platter and served during a main meal. It is
typical to the Kenyan Indian community and is relished by the entire family","potatoes
tomatoes
salt
turmeric
coriander
red chilli
cooking oil
fenugreek
mustar
cumin
curry leaves
lemon
sugar
water","Preparation 15 minutes | Cooking 30 minutes | 
Serves 4
?Peel wash and cut the potatoes.
?Blend tomatoes, turmeric powder, coriander
powder, red chilli powder, 1 tablespoon of cooking oil.
?Put 2 1/2 tablespoons of cooking oil in a cooking
pot and heat for 3 minutes.
?Add the fenugreek, mustard seeds, curry leaves
and cumin seeds.
?Stir and cook for 2 minutes.
?Add the blended ingredients, mix and cook for 2
minutes.
?Add salt and all the water and cook for 10 minutes.
?Meanwhile, mix the sugar and lemon juice into a
separate cup.
?Add the potatoes and stir. Add the sugar-lemon
juice solution.
?Cover to cook for 16 minutes or until the potatoes are tender.
?Remove from heat and serve.","Energy 608 kJ/ 145 kcal  | Fat 7.0 g  | Carbohydrates 17.3 g  | Protein 2.2 g  | Fibre 2.2 g  
Vitamin A 10 mcg |  Iron 1.7 mg  | Zinc 0.41 mg",145,7,17.3,2.2,2.2,10,1.7,0.41,0.7
Peas & Brinjal Curry,15128,260,"Green peas prepared with brinjals is a curry that makes part of a full meal platter referred to as Thali. It is
traditional to Kenyan Indian community and is served as a side dish during lunch or dinner.","garden peas
egg plants
brinjals
tomatoes
coriander
garlic
chillies
ginger
fenugreek
mustard
cumin
coriander
turmeric 
red chilli
salt
water
cooking oil","Preparation 5 minutes | Cooking 25 minutes | Serves
4
?Blend all the ingredients together; except garden peas, eggplants, water and cooking oil.
?Cut the eggplant and mix with garden peas in a
separate bowl.
?Into a clean pot, add the cooking oil and heat
for 2 minutes.
?Add the blended ingredients and stir. Cook for 3
minutes.
?Add the peas and egg plants, and stir.
?Add 1/2 cup water.
?Cover and cook for 20 minutes.
?Remove from heat and serve.","Energy 544 kJ/ 131 kcal | Fat 8.5 g | Carbohydrates 6.6 g | Protein 4.2 g | Fibre 5.8 g
Vitamin A 29 mcg | Iron 2.1 mg | Zinc 1.96 mg",131,8.5,6.6,4.2,5.8,29,2.1,1.96,0.5
Split Dal Stewed,15126,262,"This recipe is part of an assortment of dishes that make up a meal platter and is traditional to the Kenyan
Indian community. The dal stew is heavily spiced to give a tantalizing taste. It is served as a family dish
during lunch or dinner as a side dish.","yellow split dal
tomato
salt
turmeric 
red chilli
tomato paste
cooking oil
fenugreek
mustard 
cumin
curry
lemon
sugar
water","Preparation 1 hour | Cooking 1 hour | Serves 4
?Soak the dal for 50 minutes and wash.
?Put the soaked dal into a cooking pot. Add 4 1/2
cups of water and 2 teaspoons of salt. Cook for 40
minutes while stirring at intervals.
?Meanwhile, weigh and mix tomatoes, turmeric, red
chilli powder, tomato paste and fenugreek seeds.
?Put cooking oil, mustard seeds and cumin seeds
into a pot and cook for 1 minute.
?Add the mixed ingredients cook for 2 minutes.
?Add 4 cups of water and curry leaves then stir.
?Boil for 5 minutes.
?Add juice of lemon and sugar then stir.
?Meanwhile grind the boiled dal (sieve it if necessary)
?Add the ground dal into the pot and stir.
?Cover to cook for 12 minutes.
?Remove from heat and serve","Energy 291 kJ/ 69 kcal | Fat 1.9 g | Carbohydrates 8.1 g | Protein 3.7 g | Fibre 2.7 g
Vitamin A 9 mcg | Iron 1.2 mg | Zinc 0.42 mg",69,1.9,8.1,3.7,2.7,9,1.2,0.42,0.5
Chick Peas Curry,15139,264,"This is a vegetable curry typical to Kenyan Indian community. The soaking step is a must if you desire soft
and crunchy appeal and for a full release of nutrients. This deliciously spicy dish is commonly referred to
as ?hole?nd is eaten with fried bread called ?hature?ade from soft wheat flour. Chick peas curry is
eaten as part of a main meal during lunch or dinner and is savoured by the entire family","chick peas
red chilli 
turmeric
chole masala
tomato
tomato paste
onion
cooking oil
garlic
ginger
coriander
coriander powde
cinnamon
salt
bay leaf
cloves
cumin 
lemon
water
anise","?Sort and soak the chick peas overnight.
?Wash and boil the chick peas in 2 cups water until
the chick peas are ready and tender. Add 1 teaspoon of salt to taste.
?Prepare, wash and cut the onion, tomatoes and
coriander leaves.
?Heat the oil in a cooking pot, add cinnamon, cumin,
cloves, onion and stir.
?Cook for 3 minutes.
?Add the cut tomatoes, ginger, garlic and coriander
powder. Stir.
?Add the tomato paste, red Chilli powder, 1 1/2 teaspoon of salt, turmeric powder, cinnamon, bay leaf,
lemon juice, anise seeds and chole masala.
?Stir and cover to cook for 5-10 minutes.
?Add the coriander leaves.
?Add the boiled chick peas and 1 cup of water.
?Cover to cook for 5 minutes.
?Remove from heat and serve","Energy 524 kJ/ 126 kcal | Fat 5.1 g | Carbohydrates 10.3 g | Protein 6 g | Fibre 7.3 g
Vitamin A 12 mcg | Iron 2.5 mg | Zinc 0.96 mg",126,5.1,10.3,6,7.3,12,2.5,0.96,0.5
"Stewed Potatoes 
& Arrowroots",15058,268,"Stewed arrowroots is a nostalgic dish traditional to the arrowroot growing regions. The Kikuyu, Meru and
Embu communities are key to this recipe. It is eaten as a main meal during lunch or supper and is relished
by the entire family","potato
arrowroot
green banana
onion
tomato
cooking oil
salt
water","Preparation 15 minutes | Cooking 1 hour | 
Serves 4
?Peel and wash the potatoes, arrowroots, onions and
tomatoes.
?Cut the washed ingredients into cubes in separate
bowls.
?Peel and wash the bananas and keep them in a separate bowl with water (this water is not for cooking but
to prevent bananas from browning).
?Heat the cooking oil in a cooking vessel for 2 minutes
and add onions, cook for 12 minutes until golden
brown.
?Add tomatoes and cook for 8 minutes.
?Add the salt and stir.
?Add the chopped potatoes and stir.
?Add 4 cups of water and cook for another 4 minutes.
?Add cut arrowroots and cover to cook for 17 minutes.
?Add the bananas and 3 cups of water then stir and let
to it cook for 13 minutes. Serve.","Energy 380 kJ/ 90 kcal | Fat 2.1 g | Carbohydrates 15.0 g | Protein 1.9 g | Fibre 1.8 g
Vitamin A 3 mcg | Iron 0.9 mg | Zinc 0.44 mg",90,2.1,15,1.9,1.8,3,0.9,0.44,0.7
Yam Stew,15052,270,"The ancient yam is among the oldest roots in Kenya. It is a traditional delicacy of the Meru community.
To date, yams are eaten as a stew as indicated in this recipe. It can also be prepared with meat or other
protein. Loved for its filling effect, yam stew is packed with good wholesome starch ideal for the health
conscious. It can be eaten during lunch or dinner as a main dish served to the whole family.","yam
potato
onion
tomato
carrot
salt
cooking oil
water","Preparation 20 minutes | Cooking 1 hour | 
Serves 4
?Peel, wash and cut the yam into small pieces.
?Peel and wash the potatoes in water.
?Cut the potatoes into small cubes.
?Peel, wash and cut the tomatoes, carrots and the
onions.
?Heat the oil for 1 minute then add the onions.
?Add tomatoes after 3 minutes.
?Add salt after 5 minutes. After 6 minutes add the
cut yam and stir.
?After 8 minutes add all the water and cover the
pot.
?After 6 minutes add potatoes, stir and cover.
?Add carrots after 8 minutes.
?Heat for 20 minutes and remove from the fire.
?Serve hot","Energy 394 kJ/ 94 kcal | Fat 2.4 g | Carbohydrates 15.3 g | Protein 1.5 g |  Fibre 2.5 g
Vitamin A 34 mcg | Iron 0.7 mg | Zinc 0.21 mg",94,2.4,15.3,1.5,2.5,34,0.7,0.21,0.6
"Pumpkins with 
Peanut Butter",15141,272,"This sweet, buttery recipe is an infant dish served typically for lunch or dinner by the urban communities","pumpkin
peanut butter
cooking oil
water
salt","Preparation 5 minutes | Cooking 45 minutes | 
Serves 4
?Peel and wash the pumpkin.
?In a separate bowl mix the peanut butter with 1/8
cup of water.
?Put the pumpkin into a cooking pot and add the
rest of the water.
?Bring to boil, add salt and cooking oil.
?When the pumpkin has cooked, add the peanut
paste.
?Cover and simmer for 9 minutes.
?Serve.","Energy 359 kJ/ 86 kcal | Fat 5.5 g | Carbohydrates 5.4 g | Protein 2.6 g | Fibre 2.6 g
Vitamin A 91 mcg | Iron 0.6 mg | Zinc 0.36 mg",86,5.5,5.4,2.6,2.6,91,0.6,0.36,0.7
" Sweet Potatoes 
with Peanut Butter",15113,274,"This is a recipe originally common among the Nubian community. It is eaten for breakfast with tea. It is
loved for its filling effect due to the combined effect of peanut butter and sweet potatoes.","sweet potato
onion
tomato
cooking oil
peanut butter
salt
water","Preparation 5-10 minutes | Cooking 1 hour | Serves 4
?Peel, wash and cut the sweet potatoes into desirable
sizes.
?Peel and chop the onion and fry with oil in a cooking
pot until golden brown.
?Grate tomatoes and add into the golden-brown
onions, stir and simmer until the tomatoes are well
cooked or tender.
?Add the sweet potatoes and salt. Mix and cover to
simmer.
?Add 4 cups of water and continue simmering.
?Meanwhile, mix the peanut butter with 2/3 cup of
water in a separate bowl.
?Add the peanut mixture into the sweet potatoes
mixture and stir.
?Simmer for 3 minutes and serve.","Energy 373 kJ/ 89 kcal | Fat 4.4 g | Carbohydrates 9.3 g | Protein 2.2 g | Fibre 2.2 g
Vitamin A 263 mcg  | Iron 0.7 mg | Zinc 0.42 mg",89,4.4,9.3,2.2,2.2,263,0.7,0.42,0.7
Arrowroot Stew,15112,276,"This dish is typical among the communities that grow arrowroots and bananas which include the Kisii, Kikuyu, Meru and Embu communities. Often served as a main meal, this recipe is eaten by the whole family and at times fed to infants above the age of 9 months.","potato
arrowroot
green banana
carrot
onions,
tomato
cooking oil
salt
water","Preparation 10-15 minutes | Cooking 1 hour | Serves 4
?Peel, wash and cut the potatoes, arrowroots and bananas into large chunks. Place them in separate bowls
and cover with water.
?Peel, wash, cut the carrots and tomatoes and place in
separate bowls.
?Chop the onions and put into a clean pot, add cooking oil and cook the onion until it starts to brown
?Add tomatoes, cook while stirring until tender
?Add the cut arrowroots, stir and cook for 3 minutes.
?Add the cut carrots, 4 cups of water and stir. Cook for
4 minutes.
?Add potatoes, salt and stir. 
?Cover and leave to cook for 15-20 minutes while stirring at intervals.
?Add the chopped green bananas and cook for 2 minutes. Add 3 cups of water.
?Cover and cook until ready.
?Remove from heat and serve.","Energy 383 kJ/ 91 kcal | Fat 2.3 g | Carbohydrates 14.9 g | Protein 1.9 g | Fibre 1.8 g
Vitamin A 48 mcg | Iron 0.9 mg | Zinc 0.44 mg",91,2.3,14.9,1.9,1.8,48,0.9,0.44,0.7
"Pan Fried 
Arrowroots",15117,278,Pan fried arrowroots is a breakfast dish typical among urban dwellers but originally eaten among the Kikuyu and Meru communities. It is usually eaten with tea.,"arrowroot
cooking oil
water
salt","Preparation 5 minutes | Cooking 30 minutes | Serves 
4
?Peel and wash the arrowroots.
?Put the arrowroots into a cooking pot; add all the
water and salt bring to a boil for 15 minutes.
?Drain the excess water.
?Dice the boiled arrowroots into thin circular shapes.
?Add cooking oil into a clean pan and heat for 3
minutes.
?Place the boiled arrowroots on the pan. Fry for 7
minutes, while turning at intervals.
?Remove from pan and place onto paper towels to
drain the oil.
?Serve while hot.","Energy 761 kJ/ 181 kcal | Fat 5.2 g  | Carbohydrates 28.3 g | Protein 4.1 g | Fibre 2.5 g
Vitamin A 2 mcg | Iron 1.3 mg | Zinc 1.09 mg",181,5.2,28.3,4.1,2.5,2,1.3,1.09,0.7
"Pan Fried Sweet 
Potatoes",15109,280,"This delicious recipe is a typical breakfast dish common among urban dwellers but originally from Kisii
community. It is usually eaten with a cup of tea.","sweet potato
water
oil","Preparation 5 minutes | Cooking 1 hour 15 minutes 
| Serves 4
?Peel the sweet potatoes and wash.
?Chop them into large chunks.
?Put the sweet potatoes into a cooking pot, add all
the water and place on heat.
?Bring the sweet potatoes to a boil until tender. (Do
not overcook)
?Drain the excess water.
?Heat cooking oil in a pan for 2 minutes.
?Gently place the sweet potatoes onto the oil, fry
until they turn golden brown and crispy.
?Turn to fry the other side.
?Remove from heat.
?Serve.","Energy 1,035 kJ/ 248 kcal | Fat 13.9 g | Carbohydrates 25.3 g | Protein 3.1 g | Fibre 4.9 g
Vitamin A 796 mcg | Iron 0.8 mg | Zinc 0.73 mg",248,13.9,25.3,3.1,4.9,796,0.8,0.73,0.7
Potato Bhajia,15131,282,"This is a spicy recipe common among Kenyan Indian community. It is served as part of a main meal and is
eaten by the entire family.","potato
ginger
garlic
green chilli
coriander leaves
gram flour
salt
red chilli 
turmeric
lemon
cooking oil
water
bicarbonate of soda","Preparation 10 minutes | Cooking 40 minutes | 
Serves 4
?Peel the potatoes, wash, cut into round shapes and
put aside.
?Crush the garlic, ginger and green chilli. Cut the
coriander leaves.
?Into a clean dry bowl, add all the ingredients and
mix (gram flour, ginger, garlic, red chilli, green chillies, coriander leaves, salt, turmeric powder, lemon
juice and bicarbonate of soda).
?Into the mixed ingredients, add cut potatoes and
mix to evenly coat the potatoes.
?Add a little water if necessary.
?Put cooking oil into a cooking pot and heat for 7
minutes.
?Put in the coated potatoes and fry for 8 minutes.
?Remove from oil and place onto paper towels to
drain the oil.
?Serve while hot.","Energy 1,960 kJ/ 471 kcal |  Fat 31.0 g |  Carbohydrates 37.1 g |  Protein 8.6 g |  Fibre 4.8 g  
Vitamin A 5 mcg |  Iron 3.0 mg  | Zinc 0.78 mg",471,31,37.1,8.6,4.8,5,3,0.78,0.7
Potato Chips,15110,284,"This is typically an urban dish in many parts of Kenya. It is served to the whole family mainly during lunch.
It is eaten with a protein dish such as fried chicken, stir fried beef or sausages. It can also be eaten plain or
with vegetables.","potato
cooking oil","Preparation 5 minutes | Cooking 30 minutes | Serves 4
?Peel the potatoes, wash and cut lengthways into thin
stripes
?Heat cooking oil in a pot for 7-10 minutes or until the
oil is hot enough.
?Add the cut potatoes and fry for 10 minutes and turn.
Allow to cook for another 10 minutes or until ready.
?Remove from oil and place on paper towels to drain
the oil.
?Serve while hot.","Energy 1,365 kJ/ 326 kcal | Fat 13.6 g | Carbohydrates 44.4 g  | Protein 4.8 g | Fibre 3.3 g
Vitamin A 0 mcg | Iron 2.7 mg | Zinc 0.63 mg",326,13.6,44.4,4.8,3.3,0,2.7,0.63,0.7
"Stewed Green 
Bananas",15097,286,"This dish is typical among the Kisii community but also popular in other parts of the country. It serves the
whole family and is usually used as an infant dish. Stewed green bananas are eaten for lunch or dinner.","green banana
onion
tomato
salt
cooking oil
water","Preparation 10 minutes | Cooking 1 hour | Serves 4
?Peel the onions, wash and cut into a bowl.
?Wash the tomatoes and cut into a separate bowl.
?Peel and clean the bananas
?Heat oil in a cooking pot, add the onions and fry
until golden brown.
?Add the tomatoes, salt and stir
?Add the bananas and stir. 
?Put all the water and allow to simmer until ready.
?Serve hot","Energy 350 kJ/ 84 kcal |  Fat 3.8 g  | Carbohydrates 10.4 g  | Protein 1 g |  Fibre 2.2 g  
Vitamin A 6 mcg  | Iron 0.7 mg | Zinc 0.21 mg",84,3.8,10.4,1,2.2,6,0.7,0.21,0.5
"Matoke
 (Stewed Green Bananas with Meat)",15056,288,"Matoke is central to Kisii community cuisines. Being the major source of bananas, Kisii community has
learnt over many years numerous ways of preparing ?atoke?In this recipe, the combination of the
variety of green bananas with meat yields a very tasty dish that is savoured by the entire family. It is mainly
eaten without accompaniment and served during lunch or dinner","beef
green banana
onion
tomato
coriander leaves
potato
salt
cooking fat
water","Preparation 20 minutes | Cooking 2 hours 30 minutes 
| Serves 4
?Cut the meat into bite size chunks and boil in 4 cups
of water for 50 minutes.
?Meanwhile, peel and wash the onions and tomatoes;
cut into small cubes.
?Peel potatoes and bananas separately.
?Cut coriander leaves and set aside.
?Add onions to the meat and stir until the meat dries.
?Add oil, tomatoes, potatoes and bananas and finally
the coriander leaves.
?Add salt to taste.
?Continue to stir while adding the rest of the water
for 13 minutes.
?Cover with a lid.
?Cook for another hour.","Energy 494 kJ/ 118 kcal |  Fat 4.1 g  | Carbohydrates 13.3 g  | Protein 6 g |  Fibre 1.8 g  
Vitamin A 19 mcg | Iron 3.9 mg  | Zinc 1.12 mg",118,4.1,13.3,6,1.8,19,3.9,1.12,0.6
"Whole Maize 
Flour Ugali",15005,292,"This recipe represents the most consumed Ugali in all communities in Kenya. It is eaten as a main dish
during lunch or supper usually accompanied by a vegetable or protein dish.","whole maize flour
water","Preparation 5 minutes | Cooking 25 minutes | 
Serves 4
?Measure water and flour into separate bowls. 
?Put all the water into a cooking pot, cover and bring
to a boil.
?Add flour into the boiling water and keep mixing
while pressing against the wall of the cooking pot
until the mixture is smooth without lumps.
?Once properly mixed, reduce the fire and simmer for
13 minutes.
?Serve as desired","Energy 596 kJ/ 141 kcal  | Fat 1.8 g | Carbohydrates 26 g | Protein 3.3 g | Fibre 3.8 g
Vitamin A 0 mcg | Iron 1.1 mg | Zinc 0.77 mg",141,1.8,26,3.3,3.8,0,1.1,0.77,0.5
"Maize & Finger 
Millet Flour Ugali",15006,294,"This variant of Ugali is prepared from a combination of finger millet and whole maize flour. It is common
among the Kisii, Luhya, Kamba, Kalenjin and Luo communities. It is served as a main dish accompanied by
a vegetable or meat dish.","whole maize flour
finger millet flour
water","Preparation 5 minutes | Cooking 30 minutes | 
Serves 4
?Mix the dry ingredients together; whole maize meal
and finger millet flour, until an even colour is obtained.
?Boil all the water in a cooking pot.
?Pour 3/4 of the mixed flour into the cooking pot and
slowly start mixing.
?Continue mixing for 2 minutes.
?Add the remaining quarter of the flour while mixing.
Mix while pressing the mixture against the wall of the
pot to avoid forming lumps. Continue mixing until
smooth.
?Reduce the fire after 2 minutes of cooking and simmer
for 17 minutes until ready.
?While simmering, keep mixing periodically.
?Remove from fire, turn over onto a plate and serve hot.","Energy 562 kJ/ 133 kcal | Fat 1.3 g | Carbohydrates 24 g  | Protein 3.1 g | Fibre 6.6 g
Vitamin A 0 mcg | Iron 2.9 mg | Zinc 0.73 mg",133,1.3,24,3.1,6.6,0,2.9,0.73,0.5
"Maize, Red 
Sorghum & Finger 
Millet Flour Ugali",15007,296,"This variant of Ugali is common as a traditional dish among the Kalenjin, the Luhya and Luo communities.
It is served as a main dish often accompanied by a vegetable dish or a meat/fish dish.","whole maize flour
red sorghum flour
finger millet
water","Preparation 5 minutes | Cooking 25 minutes | 
Serves 4
?Put all the water into a cooking pot and bring to a boil.
?Meanwhile, mix the dry ingredients; whole maize
flour, finger millet, red sorghum until an even colour is
attained.
?Pour the dry mixture all at once into the cooking pot
and slowly start mixing everything.
?Mix while pressing the mixture against the walls of the
pot to avoid forming lumps.
?Continue mixing the paste until smooth.
?Reduce the fire and simmer for 8 minutes.
?Remove from fire, turn over onto a plate and serve
hot.","Energy 543 kJ/ 129 kcal | Fat 1.4 g | Carbohydrates 23.3 g | Protein 3.1 g | Fibre 5.3 g
Vitamin A 0 mcg |  Iron 1.9 mg  | Zinc 0.72 mg",129,1.4,23.3,3.1,5.3,0,1.9,0.72,0.5
"Cassava & Red 
Sorghum Flour Ugali",15008,298,"This variant of Ugali is common in Western part of Kenya particularly Kuria, Luhya and Luo communities.
It is eaten during lunch or dinner as a main dish and is usually accompanied by a vegetable and protein
dish.","cassava flour
red sorghum flour
water","Preparation 5 minutes | Cooking 25 minutes | 
Serves 4
?Put all the water in a cooking pot and bring to a boil.
?Mix the dry ingredients; cassava and red sorghum flour,
together.
?Add all the dry mixture into the boiling water.
?Slowly start mixing the contents while pressing the mixture against the wall of the pot to prevent the flour from
forming lumps.
?Continue mixing the paste until smooth.
?Reduce the fire to low and simmer for 10 minutes.
?Remove from fire, turn over onto a plate and serve hot.","Energy 489 kJ/ 116 kcal | Fat 0.8 g | Carbohydrates 23.4 g | Protein 2.1 g | Fibre 3.4 g
Vitamin A 0 mcg | Iron 0.9 mg | Zinc 0.50 g",116,0.8,23.4,2.1,3.4,0,0.9,0.5,0.5
"Refined Maize 
Flour Ugali",15009,300,"This type of Ugali is common across the entire country. It is made of refined maize flour, usually bought
from retail shops. It is the predominant ugali in urban areas. It is eaten as a main dish accompanied by a
protein and /or green vegetables.","maize flour
water","Preparation 5 minutes | Cooking 20 minutes | 
Serves 4
?Bring all the water to a boil.
?Add the maize flour gradually to the boiling water
(not all at once).
?Stir continuously with a wooden spoon until desired
consistency is achieved.
?Keep turning periodically until cooked and cover
the pot at intervals.
?Remove from fire, turn over onto a plate and serve
hot.","Energy 626 kJ/ 148 kcal | Fat 1.9 g | Carbohydrates 27.3 g | Protein 3.4 g | Fibre 4.0 g
Vitamin A 0 mcg | Iron 1.1 mg | Zinc 0.81 mg",148,1.9,27.3,3.4,4,0,1.1,0.81,0.5
"Red Sorghum, Finger 
Millet & Refined Maize 
Flour Ugali",15010,302,"This type of Ugali is common in several communities including Luhya, Kalenjin and Luo. It is eaten as a
main dish accompanied by a traditional vegetable and/ or a protein dish.","red sorghum flour
finger millet flour
maize flour
water","Preparation 5 minutes | Cooking 20 minutes |
Serves 4
?Mix the dry ingredients evenly.
?In a separate cooking pot, bring all the water to a
boil.
?Add the flour mixture into the boiling water and
stir continuously for 6 minutes or until the mixture
is firm.
?Simmer and allow to cook for 15 minutes.
?Remove from fire, turn over onto a plate and serve
hot.","Energy 634 kJ/ 150 kcal | Fat 0.7 g | Carbohydrates 32.1 g | Protein 1.9 g | Fibre 3.6 g
Vitamin A 0 mcg | Iron 1.3 mg | Zinc 0.44 mg",150,0.7,32.1,1.9,3.6,0,1.3,0.44,0.5
"Cassava Flour
 Ugali",15011,304,"Cassava Ugali is prepared from dried cassava flour. It is common among the Luo community. It is usually
eaten as a main course with a vegetable dish accompaniment.","cassava flour
water","Preparation 5 minutes | Cooking 20 minutes | 
Serves 2
?Put all the water in a cooking pot and place on the fire.
?When the water boils, add the cassava flour gradually.
?Keep stirring and turning until it becomes firm.
?Once it is firm, allow to simmer for 10 minutes.
?Remove from the fire and turn over onto a plate to serve.","Energy 788 kJ/ 186 kcal | Fat 0.3 g | Carbohydrates 43.7 g | Protein 1.1 g | Fibre 2.2 g
Vitamin A 1 mcg | Iron 0.8 mg | Zinc 0.41 mg",186,0.3,43.7,1.1,2.2,1,0.8,0.41,0.5
